name,batch_id,open,close,volume,item_url
M4A4 | 龍王 (Dragon King) (Factory New),2025-08-31 12:00:00,509.5,509.5,123,https://buff.163.com/market/goods?game=csgo&goods_id=35353
M4A4 | 龍王 (Dragon King) (Factory New),2025-09-04 12:00:00,680.0,680.0,115,https://buff.163.com/market/goods?game=csgo&goods_id=35353
M4A4 | 龍王 (Dragon King) (Factory New),2025-09-10 12:00:00,800.0,800.0,116,https://buff.163.com/market/goods?game=csgo&goods_id=35353
M4A4 | 龍王 (Dragon King) (Factory New),2025-09-16 12:00:00,709.48,709.48,244,https://buff.163.com/market/goods?game=csgo&goods_id=35353
M4A4 | 龍王 (Dragon King) (Factory New),2025-09-22 12:00:00,776.0,776.0,206,https://buff.163.com/market/goods?game=csgo&goods_id=35353
M4A4 | 龍王 (Dragon King) (Factory New),2025-09-28 12:00:00,915.0,915.0,138,https://buff.163.com/market/goods?game=csgo&goods_id=35353
M4A4 | 龍王 (Dragon King) (Factory New),2025-10-04 12:00:00,954.0,954.0,143,https://buff.163.com/market/goods?game=csgo&goods_id=35353
M4A4 | 龍王 (Dragon King) (Factory New),2025-10-11 12:00:00,935.0,935.0,142,https://buff.163.com/market/goods?game=csgo&goods_id=35353
M4A4 | 龍王 (Dragon King) (Factory New),2025-10-17 12:00:00,799.0,799.0,214,https://buff.163.com/market/goods?game=csgo&goods_id=35353
M4A4 | 龍王 (Dragon King) (Factory New),2025-10-23 12:00:00,488.0,488.0,247,https://buff.163.com/market/goods?game=csgo&goods_id=35353
M4A4 | 龍王 (Dragon King) (Factory New),2025-10-29 12:00:00,500.0,500.0,231,https://buff.163.com/market/goods?game=csgo&goods_id=35353
M4A4 | 龍王 (Dragon King) (Factory New),2025-11-04 12:00:00,680.0,680.0,299,https://buff.163.com/market/goods?game=csgo&goods_id=35353
M4A4 | 龍王 (Dragon King) (Factory New),2025-11-10 12:00:00,670.0,670.0,281,https://buff.163.com/market/goods?game=csgo&goods_id=35353
M4A4 | 龍王 (Dragon King) (Factory New),2025-11-16 12:00:00,730.0,730.0,239,https://buff.163.com/market/goods?game=csgo&goods_id=35353
M4A4 | 龍王 (Dragon King) (Factory New),2025-11-22 12:00:00,745.0,745.0,236,https://buff.163.com/market/goods?game=csgo&goods_id=35353
M4A4 | 龍王 (Dragon King) (Factory New),2025-11-28 12:00:00,806.0,806.0,197,https://buff.163.com/market/goods?game=csgo&goods_id=35353
M4A4 | 龍王 (Dragon King) (Factory New),2025-12-04 12:00:00,771.0,771.0,221,https://buff.163.com/market/goods?game=csgo&goods_id=35353
M4A4 | 龍王 (Dragon King) (Factory New),2025-12-10 12:00:00,720.0,720.0,259,https://buff.163.com/market/goods?game=csgo&goods_id=35353
M4A4 | 龍王 (Dragon King) (Factory New),2025-12-16 12:00:00,730.0,730.0,254,https://buff.163.com/market/goods?game=csgo&goods_id=35353
M4A4 | 龍王 (Dragon King) (Factory New),2025-12-23 12:00:00,709.0,709.0,256,https://buff.163.com/market/goods?game=csgo&goods_id=35353
M4A4 | 龍王 (Dragon King) (Factory New),2025-12-29 12:00:00,720.0,720.0,274,https://buff.163.com/market/goods?game=csgo&goods_id=35353
M4A4 | 龍王 (Dragon King) (Factory New),2026-01-04 12:00:00,772.0,772.0,237,https://buff.163.com/market/goods?game=csgo&goods_id=35353
